ProjectKey,Project Name,Client Name,Industry,Practice,Project Type
1,Kaiku Devices - Discovery,Kaiku Devices,IoT,Data,Time & Materials
2,Sensora IoT - Discovery,Sensora IoT,IoT,Data,Fixed Price
3,Kaiku Devices - Platform,Kaiku Devices,IoT,Data,Fixed Price
4,Baltic Grid - Support,Baltic Grid,Energy,Data,Internal
5,MediSuomi - Discovery,MediSuomi,HealthTech,Delivery,Time & Materials
6,Kaiku Devices - Migration,Kaiku Devices,IoT,Data,Fixed Price
7,Nordkraft Energi - Discovery,Nordkraft Energi,Energy,Design,Fixed Price
8,Pohjola Mills - Discovery,Pohjola Mills,Textile,Delivery,Fixed Price
9,City of Tampere - Migration,City of Tampere,Public Sector,Design,Time & Materials
10,MediSuomi - Migration,MediSuomi,HealthTech,Delivery,Fixed Price
11,Lumi Textiles - Migration,Lumi Textiles,Textile,Delivery,Time & Materials
12,Baltic Grid - Platform,Baltic Grid,Energy,Delivery,Time & Materials
13,Nordkraft Energi - Discovery,Nordkraft Energi,Energy,Design,Fixed Price
14,Aurora Pay - Rollout,Aurora Pay,Fintech,Data,Internal
15,Nordkraft Energi - Platform,Nordkraft Energi,Energy,Advisory,Time & Materials
16,Aurora Pay - Platform,Aurora Pay,Fintech,Delivery,Fixed Price
17,Aurora Pay - Rollout,Aurora Pay,Fintech,Advisory,Internal
18,Vantaa Health Group - Support,Vantaa Health Group,HealthTech,Data,Fixed Price
19,Nordic Ledger - Support,Nordic Ledger,Fintech,Advisory,Time & Materials
20,City of Tampere - Platform,City of Tampere,Public Sector,Data,Time & Materials
21,MediSuomi - Support,MediSuomi,HealthTech,Delivery,Time & Materials
22,Nordkraft Energi - Discovery,Nordkraft Energi,Energy,Delivery,Fixed Price
23,Aurora Pay - Support,Aurora Pay,Fintech,Advisory,Time & Materials
24,Sensora IoT - Migration,Sensora IoT,IoT,Delivery,Time & Materials
25,Nordic Ledger - Migration,Nordic Ledger,Fintech,Delivery,Fixed Price
26,Sensora IoT - Support,Sensora IoT,IoT,Data,Time & Materials
27,Nordkraft Energi - Discovery,Nordkraft Energi,Energy,Data,Fixed Price
28,Helsinki Transit - Discovery,Helsinki Transit,Public Sector,Design,Time & Materials
29,Internal - Delivery,Internal,Internal,Delivery,Internal
30,Internal - Design,Internal,Internal,Design,Internal
31,Internal - Data,Internal,Internal,Data,Internal
32,Internal - Advisory,Internal,Internal,Advisory,Internal
